Ligne précédente,Date,Heure
المجموعة الغنائية إي مورفيني تقدم بفاس روائع ومختارات من التراث,25 أبريل 2024,21:33
وفد قطري يطلع بمراكش على الفنون المعمارية والتقليدية والإسلامية المغربية,25 أبريل 2024,20:00
مهرجان جدار فن الشارع: رسم 12 جدارية جديدة بمختلف أحياء,25 أبريل 2024,12:00
مهرجان فاس للثقافة الصوفية: الفرنسي أوريليان باسكال يتحف الجمهور بروائع,24 أبريل 2024,19:47
مهرجان فاس للثقافة الصوفية: استعراض الدور البارز لمحي الدين ابن,22 أبريل 2024,20:20
عرض فني بباب الماكينة في افتتاح فعاليات مهرجان فاس للثقافة,21 أبريل 2024,14:50
أسبوع الإيسيسكو الثقافي بمراكش يحتفي بالمكانة التاريخية والحضارية للمدينة الحمراء,21 أبريل 2024,10:16
مهرجان تطوان لسينما البحر الأبيض المتوسط: 12 فيلما يتنافسون على,20 أبريل 2024,15:49
المعرض الدولي للنشر والكتاب 2024: اليونسكو ضيف شرف الدورة ال,19 أبريل 2024,17:30
مهرجان مراكش كناوة شو ينظم دورته السابعة في ماي المقبل,19 أبريل 2024,14:59
الممثل المصري صلاح السعدني يغادر إلى دار البقاء,19 أبريل 2024,12:25
بنسعيد: الشباب والثقافة في صلب مشروع تحقيق التنمية بالمغرب,18 أبريل 2024,20:10
مهرجان كناوة وموسيقى العالم بالصويرة 2024: مشاركة باقة من أبرز,16 أبريل 2024,19:30
معرض أبوظبي الدولي للكتاب من 29 أبريل الى 5 ماي,13 أبريل 2024,11:18
المغرب الموسيقي تحت الضوء في مهرجان “سلام” بفيينا,12 أبريل 2024,14:30
الأسبوع الثامن للغة الإسبانية بالمغرب من 15 إلى 24 أبريل,11 أبريل 2024,16:42
المعهد الملكي للثقافة الأمازيغية يطلق استكتابا جماعيا حول أدب الهجرة,9 أبريل 2024,15:30
تأسيس الغرفة المغربية للإنتاج السينمائي الأمازيغي,9 أبريل 2024,14:44
مهرجان موسكو السينمائي الدولي: عبد الإله الجوهري رئيسا للجنة تحكيم,8 أبريل 2024,16:50
الإسيسكو تدعو إلى استثمار قدرات الشباب والنساء في تطوير النظم,6 أبريل 2024,18:53
السيد بنسعيد: إدراج مدينة تاريخية أو معلمة كتراث ثقافي مادي,5 أبريل 2024,18:37
مهرجان خريبكة للسينما الإفريقية 2024: المخرجة المصرية هالة خليل رئيسة,3 أبريل 2024,20:53
مهرجان خريبكة للسينما الإفريقية من 11 إلى 18 ماي المقبل,2 أبريل 2024,20:15
الممثل عبد الكبير الركاكنة رئيسا للتعاضدية الوطنية للفنانين,1 أبريل 2024,14:57
إيسيسكو: ورشة عمل لمكافحة الاتجار غير المشروع بالممتلكات الثقافية في,31 مارس 2024,17:23
الرياض تستضيف المهرجان السينمائي الخليجي,30 مارس 2024,10:24
مراكش: الإحتفال الرسمي باليوم العالمي للمسرح,28 مارس 2024,09:32
مهرجان مالمو للسينما العربية: الإعلامية فاطمة النوالي آزر عضو لجنة,27 مارس 2024,14:54
مهرجان تطوان لسينما المتوسط 2024: الإعلان عن أسماء أعضاء لجنتي,27 مارس 2024,11:32
لجنة دعم إنتاج الأعمال السينمائية تكشف عن مشاريع الأفلام المستفيدة,26 مارس 2024,15:35
الإعلامية والسيناريست فاطمة الوكيلي تغادر إلى دار البقاء,26 مارس 2024,13:10
الإعلان عن فتح باب الترشيح للمشاركة في الدورة الرابعة للمهرجان,25 مارس 2024,21:38
مهرجان ليمريك للموسيقى العتيقة 2024: وصلات أندلسية مغربية تتحف الجمهور,24 مارس 2024,17:59
افتتاح قاعة سينمائية جديدة بمدينة السمارة,23 مارس 2024,19:31
مهرجان مالمو للسينما العربية: كذب أبيض لأسماء المدير يشارك في,23 مارس 2024,00:01
وزيرة السياحة تترأس الاجتماع الثاني للجنة قيادة برنامج الكنوز الحرفية,20 مارس 2024,16:05
اليوم الدولي لموسيقى الجاز 2024: طنجة أول مدينة إفريقية تستضيف,20 مارس 2024,11:45
اليونسكو تختار طنجة مدينة مضيفة عالمية لليوم الدولي لموسيقى الجاز,19 مارس 2024,16:28
مهرجان فاس للثقافة الصوفية 2024: تقديم الدورة السادسة عشرة للحدث,16 مارس 2024,10:17
إفتتاح 4 قاعات سينمائية بالمراكز الثقافية التابعة للمديرية الإقليمية للثقافة,15 مارس 2024,22:22
قاعات سينمائية جديدة تعزز المشهد الثقافي بجهة طنجة تطوان الحسيمة,14 مارس 2024,15:02
أسماء المدير تعرض فيلمها كذب أبيض أمام الجمهور السويسري,14 مارس 2024,10:53
البطولة الوطنية المدرسية للفنون الدفاعية والإبداعية: أكادير تستضيف الحدث,12 مارس 2024,13:55
جائزة الشعراء الشباب 2024: فتح باب الترشيح للدورة الثالثة,11 مارس 2024,16:53
برنامج كواليس، الحاضنة المغربية للصناعات الثقافية والإبداعية يفتح باب الترشيح,11 مارس 2024,16:43
وزارة الثقافة تمدد آجال الترشيح لبرنامج طلبات مشاريع دعم الجمعيات,11 مارس 2024,16:11
المهدي بنسعيد يؤكد تعبئة كافة المتدخلين للتصدي لتزييف الأعمال التشكيلية,11 مارس 2024,14:58
الدار البيضاء: اختتام فعاليات جائزة محمد الجم للمسرح في دورته,11 مارس 2024,14:42
جائزة كتارا للمخطوطات والأماكن الأثرية 2024: المغرب ضيف شرف النسخة,11 مارس 2024,12:45
الفنان عبدو الشريف في ذمة الله,8 مارس 2024,15:37
جائزة الشيخ زايد للكتاب 2024: دراسة للكاتب المغربي مصطفى رجوان,7 مارس 2024,13:44
الصويرة: الدورة الخامسة من مهرجان موغا 2024 من 2 إلى,7 مارس 2024,10:23
وفاة الممثل المغربي محمد بنعبد الله الجندي,6 مارس 2024,12:57
مهرجان تطوان لسينما البحر الأبيض المتوسط: المخرج الفلسطيني إيليا سليمان,5 مارس 2024,16:39
جازابلانكا 2024: المغني البريطاني جيمس بلانت نجم الدورة ال17,5 مارس 2024,13:48
بيت الشعر في المغرب ينوه بفوز عبد الكريم الطبال بجائزة,4 مارس 2024,21:00
المهدي بنسعيد: المغرب تحت قيادة جلالة الملك يضع الثقافة في,4 مارس 2024,16:26
مغارة وحيد القرن بالدار البيضاء.. تراث غني لعصور ما قبل,4 مارس 2024,10:45
تكريم فرقة فوانيس المغربية بعد تتويجها بأفضل عمل مسرحي عربي,3 مارس 2024,12:50
الصويرة: رفع الستار عن فعاليات الدورة الثانية للمهرجان الدولي روح,1 مارس 2024,22:45
اللقاء الشعري المغربي الإسباني الأول.. قراءات شعرية بين الضفتين,1 مارس 2024,21:26
الكاتب والمفكر المغربي عبد السلام بنعبد العالي يفوز بجائزة سلطان,1 مارس 2024,14:08
ماراثون أقرأ ينطلق في دورته الثالثة بالرباط,29 فبراير 2024,13:17
المهدي بنسعيد: الوزارة منكبة على تعزيز إدماج عناصر الهوية المغربية,28 فبراير 2024,21:43
وفاة الممثل اللبناني فادي إبراهيم عن 67 عاما,26 فبراير 2024,21:40
المغرب يشارك في النسخة الثالثة من التظاهرة العربية لتشجيع القراءة,26 فبراير 2024,09:26
أخنوش يترأس افتتاح مهرجان اللوز بتافراوت,24 فبراير 2024,21:53
أسابيع الفيلم الأوروبي بالمغرب: إقبال كبير لعشاق الفن السابع على,24 فبراير 2024,18:30
سفيرة الاتحاد الأوروبي بالمغرب: أسابيع الفيلم الأوروبي تبرز عمق الروابط,24 فبراير 2024,13:10
مهدي قطبي: عرض حلي وجواهر امازيغية في ملكية القصر الملكي,20 فبراير 2024,21:12
إيسيسكو يضع مواعيد جديدة لزيارة معرض ومتحف السيرة النبوية خلال,20 فبراير 2024,16:32
الجائزة العالمية للرواية العربية: رواية الفسيفسائي للمغربي عيسى ناصري ضمن,19 فبراير 2024,13:46
Les Impériales 2024: حكيمي يتصدر قائمة المشاهير العشرة المفضلين لدى,15 فبراير 2024,16:00
فيلم كذب أبيض لأسماء المدير يحرز جائزة أفضل فيلم وثائقي,14 فبراير 2024,14:19
الإعلان عن تنظيم المسابقة الوطنية لنيل جائزة محمد السادس لفن,14 فبراير 2024,14:00
جائزة محمد السادس لفن الزخرفة المغربية على الورق 2024: الإعلان,14 فبراير 2024,13:26
قائمة الفائزين بجائزة المغرب للكتاب برسم دورة 2023,14 فبراير 2024,12:23
جائزة المغرب للكتاب 2023 : الإعلان عن أسماء الفائزين,14 فبراير 2024,10:53
وفاة المغني الشعبي عمر شريف,13 فبراير 2024,11:45
المغربية مليكة ماء العينين تفوز بجائزة التحكيم لمهرجان السينما والصحراء,11 فبراير 2024,11:14
ماحي بينبين: الكتاب والأدباء الأفارقة مؤهلون أكثر من غيرهم للتفكير,10 فبراير 2024,15:49
مهرجان مراكش للكتاب الإفريقي 2024: لقاء يسلط الضوء على دور,10 فبراير 2024,11:44
فاس تحتضن ندوة حول موضوع الرقمي في خدمة التراث المعماري,8 فبراير 2024,19:45
بيت الشعر في المغرب ينظم الدورة الأكاديمية كيليطو والشعر يومي,3 فبراير 2024,20:15
مهرجان الأقصر للسينما الافريقية يحتفي بالسينما المغربية,2 فبراير 2024,17:17
بني ملال: التوقيع على اتفاقية تروم حماية التراث الثقافي للجهة,1 فبراير 2024,20:30
معرض القاهرة الدولي للكتاب 2024: كتاب وأدباء مغاربة يوقعون آخر,31 يناير 2024,11:28
برنامج 150 قاعة عروض سينمائية بالمراكز الثقافية.. انطلاق عملية طلب,29 يناير 2024,16:53
مهرجان black movie: فيلم كذب أبيض لأسماء المدير يحرز جائزة,29 يناير 2024,11:18
السيد بنسعيد: اختيار مراكش كعاصمة الثقافة في العالم الإسلامي لسنة,26 يناير 2024,22:00
المعرض الدولي للنشر والكتاب 2024: فتح باب التسجيل أمام دور,26 يناير 2024,19:03
أسابيع الفيلم الأوروبي بالمغرب تحتفي بنسختها الثلاثين في عدة مدن,26 يناير 2024,14:40
بحضور المستشار الملكي أندري أزولاي، المهدي بنسعيد يستقبل نائب رئيس,25 يناير 2024,23:25
أسبوع الموضة للأزياء الراقية باريس 2024: المغربية سارة الشرايبي تعرض,23 يناير 2024,11:30
ملتقى الإبداع بالقصر الكبير يحتفي بالسيرة الثقافية للمبدع الراحل بهاد,21 يناير 2024,12:12
المهرجان الدولي للفيلم بمراكش 2024: تحديد موعد الدورة ال21,19 يناير 2024,15:25
المسابقة الوطنية للقراءة 2024: فتح باب الترشيح للدورة العاشرة,17 يناير 2024,17:07
وفاة الفنان والمخرج لحسن زينون,16 يناير 2024,16:25
السينما السعودية تسجل 245 مليون دولار إيرادات في 2023,14 يناير 2024,16:13
انطلاق النسخة الثانية من مهرجان التشكيليين الشباب بالحسيمة,14 يناير 2024,11:52
الحاكوز، طقوس وعادات احتفالية لقبائل الريف الأوسط برأس السنة الأمازيغية,14 يناير 2024,10:48
المهرجان الوطني للفنون والثقافة بفاتيك: دكار تفوز بجائزة دوتا سيك,13 يناير 2024,16:26
إقليم الحوز: مدينة أيت أورير تعيش على إيقاع فعاليات النسخة,13 يناير 2024,09:54
معرض للصور التاريخية بالرباط يخلد الذكرى 80 لتقديم وثيقة المطالبة,11 يناير 2024,19:15
السيد بنسعيد يتباحث مع نظيره البلغاري حول آفاق التعاون الثقافي,10 يناير 2024,20:34
ملتقى الفجيرة الدولي للعود يكرم الفنان الراحل حسن ميكري,10 يناير 2024,16:33
وزير الشباب والثقافة يدشن فضاء التراث المغربي في متحف نصب,10 يناير 2024,10:12
مهدي بنسعيد يؤكد بفاتيك على الدور الحاسم للثقافة في تمتين,9 يناير 2024,15:03
أكاديمية المملكة المغربية تنظم احتفالية بالرباط بمناسبة تصنيف فن الملحون,8 يناير 2024,17:07
غولدن غلوب: أوبنهايمر يتوج بجائزة أفضل فيلم درامي,8 يناير 2024,16:00
الفيلم الصحراوي: الحصيلة والتحديات، محور لقاء تواصلي بالعيون,7 يناير 2024,22:30
وفاة ديفيد سول نجم سلسة ستارسكي أند هاتش,6 يناير 2024,18:10
جامعة الحسن الثاني بالدار البيضاء: انطلاق الموسم الثاني للمشروع الوطني,5 يناير 2024,20:22
وزارة الثقافة تنعي الفنان الراحل بوجمعة اوجود، رائد من رواد,4 يناير 2024,17:13
المهرجان المسرحي الدولي لشباب الجنوب بمصر: ثلاثة عروض مسرحية مغربية,1 يناير 2024,14:40
مهرجان منارة المتوسط للشباب بالحسيمة يختتم فعاليات دورته الخامسة,1 يناير 2024,12:21
افتتاح الدورة الخامسة لمهرجان منارة المتوسط للشباب بالحسيمة,30 دجنبر 2023,11:55
دار الصويري: اسدال الستار على فعاليات النسخة السابعة من مهرجان,30 دجنبر 2023,11:29
مهرجان فاس للثقافة الصوفية يعود في دورته السادسة عشرة ما,29 دجنبر 2023,16:47
وزارة الثقافة تنظم أمسية فنية كبرى للملحون بالرباط,29 دجنبر 2023,11:07
مغربي يتوج في مسابقة إيسيسكو الشبابية حول صناعة محتوى رقمي,27 دجنبر 2023,11:34
افتتاح فعاليات معرض للصناعة التقليدية بشفشاون,24 دجنبر 2023,17:54
العيون تستضيف فعاليات الدورة السابعة لمهرجان العيون الدولي لفنون الشارع,24 دجنبر 2023,15:09
سينما بلا حدود: الدعوة إلى إحداث صندوق مشترك لتمويل الإنتاج,23 دجنبر 2023,15:14
لجنة دعم إنتاج الأعمال السينمائية تعلن أسماء الأفلام المستفيدة من,21 دجنبر 2023,16:56
منح 25 مليون درهم لدعم رقمنة وتحديث قاعات سينمائية,21 دجنبر 2023,16:40
جائزة الشارقة للبحث النقدي التشكيلي: الناقد المغربي أحمد لطف الله,20 دجنبر 2023,11:33
الإيسيسكو تصادق على إدراج ثمانية عناصر من التراث غير المادي,18 دجنبر 2023,21:19
